[2026-06-27T11:27:52.877Z] GET http://127.0.0.1:8753/finalized.html → 200 (11ms, 17911B)
[2026-06-27T11:27:52.900Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600&family=Space+Grotesk:wght@500;600;700&display=swap → 200 (117ms, 1317B)
[2026-06-27T11:27:52.911Z] GET http://127.0.0.1:8753/pretext.js → 200 (8ms, 30602B)
[2026-06-27T11:27:53.044Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (99ms, 22449B)
[2026-06-27T11:27:53.044Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (102ms, 48983B)
[2026-06-27T11:28:04.764Z] GET http://127.0.0.1:8753/finalized.html → 200 (3ms, ?B)
[2026-06-27T11:28:04.772Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600&family=Space+Grotesk:wght@500;600;700&display=swap → 200 (?ms, -743B)
[2026-06-27T11:28:04.773Z] GET http://127.0.0.1:8753/pretext.js → 304 (1ms, ?B)
[2026-06-27T11:28:04.779Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, -815B)
[2026-06-27T11:28:04.780Z] GET https://fonts.gstatic.com/s/spacegrotesk/v22/V8mDoQDjQSkFtoMM3T6r8E7mPbF4C_k3HqU.woff2 → 200 (?ms, -815B)
[2026-06-27T11:28:26.054Z] GET http://127.0.0.1:8753/finalized.html → 200 (4ms, ?B)
[2026-06-27T11:28:26.061Z] GET https://fonts.googleapis.com/css2?family=Inter:wght@400;500;600&family=Space+Grotesk:wght@500;600;700&display=swap → 200 (?ms, -743B)
[2026-06-27T11:28:26.062Z] GET http://127.0.0.1:8753/pretext.js → 304 (?ms, ?B)
[2026-06-27T11:28:26.067Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (3ms, -815B)
